,word,counts
0,하,1199
1,이,729
2,.,711
3,고,516
4,되,363
5,가,297
6,ㄴ,283
7,는,270
8,도,265
9,ㄹ,260
10,안,255
11,에,254
12,네요,238
13,앱,237
14,어,217
15,ㅂ니다,211
16,는데,209
17,아,204
18,지,198
19,것,193
20,?,181
21,있,179
22,을,174
23,로그인,164
24,사용,157
25,게,152
26,었,142
27,은,139
28,ㅁ,123
29,았,121
30,좋,116
31,어요,116
32,",",112
33,카드,112
34,오류,112
35,없,103
36,면,103
37,를,101
38,보,101
39,아요,100
40,쓰,97
41,어프,95
42,다,94
43,인증,92
44,아서,91
45,계속,87
46,어서,87
47,뜨,86
48,기,84
49,시,84
50,잘,84
51,너무,82
52,않,81
53,...,79
54,만,79
55,은행,77
56,왜,77
57,다시,77
58,수,77
59,업데이트,76
60,에서,75
61,으로,75
62,불편,72
63,같,70
64,겠,68
65,로,68
66,계좌,67
67,습니다,67
68,만들,67
69,~,66
70,나,65
71,느리,65
72,주,64
73,아도,60
74,후,60
75,결제,60
76,아니,59
77,좀,58
78,안되,56
79,중,56
80,들어가,53
81,들,53
82,편하,53
83,이체,53
84,편리,53
85,씨티,52
86,모바일,50
87,의,48
88,화면,47
89,요,45
90,음,45
91,번,43
92,ㄴ데,43
93,뭐,41
94,다른,41
95,간편,41
96,나요,41
97,진짜,41
98,등록,41
99,라고,40
100,네,40
101,적,40
102,번호,39
103,^,39
104,나오,38
105,아야,38
106,메뉴,38
107,이용,37
108,때,37
109,정말,35
110,더,35
111,개선,35
112,확인,34
113,다고,34
114,는지,34
115,통신,33
116,어야,33
117,ㅡ,32
118,설치,32
119,빠르,32
120,못하,32
121,찾,31
122,니,31
123,내,31
124,조회,30
125,부터,30
126,ㄴ가요,30
127,이렇게,30
128,누르,29
129,접속,29
130,인증서,29
131,한,28
132,오,28
133,최악,28
134,려고,28
135,많,28
136,깔,28
137,라,27
138,지만,27
139,보이,26
140,재,26
141,거래,26
142,속도,26
143,보다,26
144,!,26
145,라는,26
146,몇,25
147,입력,25
148,말,25
149,이런,25
150,내역,25
151,짓,24
152,세요,24
153,;,24
154,놓,24
155,전화,24
156,이후,23
157,삭제,23
158,반응,22
159,또,22
160,답답,22
161,에러,22
162,고객,22
163,전,22
164,이것,22
165,던,22
166,ㄴ지,21
167,비밀번호,21
168,ㅂ니까,21
169,때문,21
170,지금,20
171,다가,20
172,까지,20
173,없이,20
174,한눈,20
175,기능,20
176,싶,20
177,별,20
178,정보,20
179,어도,20
180,아주,20
181,와,20
182,..,19
183,자꾸,19
184,짜증,19
185,로딩,19
186,이렇,19
187,제대로,19
188,필요,19
189,죠,19
190,문제,19
191,씨티은행,19
192,면서,18
193,받,18
194,어쩌,18
195,넘어가,18
196,이나,18
197,폰,18
198,처음,18
199,한번,17
200,는게,17
201,아이디,17
202,그냥,17
203,ㄴ다,17
204,어떻게,17
205,일,17
206,이전,17
207,금액,17
208,사용자,17
209,넘,17
210,못,17
211,으면,17
212,상태,17
213,첫,16
214,시간,16
215,은데,16
216,시티,16
217,돈,16
218,모든,16
219,하나,16
220,더니,16
221,비번,16
222,쓰레기,16
223,업,16
224,갑자기,15
225,디자인,15
226,휴대폰,15
227,타,15
228,개,15
229,바꾸,15
230,본인,15
231,데,15
232,달,15
233,알,15
234,여러,15
235,저,15
236,바로,14
237,참,14
238,금융,14
239,공동,14
240,버리,14
241,모르,14
242,듯,14
243,스마트,14
244,시도,14
245,쿠폰,14
246,아깝,14
247,서,14
248,실행,14
249,업그레이드,13
250,냐,13
251,지문,13
252,분,13
253,포인트,13
254,알리,13
255,째,13
256,그렇,13
257,버전,13
258,진행,13
259,에요,13
260,가능,13
261,과,13
262,시티은행,13
263,가입,13
264,반복,13
265,....,13
266,1,13
267,쉽,13
268,많이,13
269,힘들,13
270,다는,13
271,해결,13
272,설정,13
273,??,13
274,이상,13
275,사람,12
276,지점,12
277,열리,12
278,려는데,12
279,편,12
280,바뀌,12
281,ㅅ,12
282,제,12
283,성,12
284,생각,12
285,마다,12
286,안드로이드,12
287,서비스,12
288,한국,12
289,장애,12
290,년,12
291,혜택,12
292,비하,12
293,눈,12
294,꺼지,12
295,하고,12
296,엄청,11
297,급하,11
298,!!!,11
299,4,11
300,10,11
301,멈추,11
302,3,11
303,신용카드,11
304,건지,11
305,도안,11
306,ㄹ까요,11
307,무한,11
308,),11
309,걸리,11
310,이번,11
311,리뷰,11
312,변경,11
313,오늘,11
314,이제,11
315,무슨,11
316,버튼,11
317,대출,10
318,맞,10
319,통장,10
320,등,10
321,2,10
322,점,10
323,니까,10
324,매우,10
325,일시,10
326,ㄴ가,10
327,해지,10
328,넣,10
329,자체,10
330,종료,10
331,만족,10
332,며,10
333,5,10
334,자주,10
335,원활,10
336,가지,10
337,바라,10
338,카드사,10
339,떨어지,10
340,클릭,10
341,지정,10
342,창,10
343,보내,10
344,!!,10
345,기다리,10
346,그러,10
347,그리고,10
348,켜,9
349,좋아요,9
350,메인,9
351,(,9
352,나서,9
353,뒤,9
354,신청,9
355,개발자,9
356,및,9
357,빨리,9
358,두,9
359,답,9
360,결재,9
361,먹통,9
362,문자,9
363,고치,9
364,공인인증서,9
365,제발,9
366,웹페이지,9
367,새로,9
368,처럼,9
369,깔끔,9
370,최고,9
371,수정,9
372,현상,9
373,불가,9
374,려,9
375,걸,9
376,없애,9
377,인터넷,9
378,도대체,8
379,부탁,8
380,굿,8
381,처리,8
382,아무것,8
383,단계,8
384,정도,8
385,그,8
386,느낌,8
387,_,8
388,상품,8
389,ㄹ까,8
390,훨씬,8
391,못쓰,8
392,심하,8
393,모두,8
394,:,8
395,허접,8
396,자리,8
397,리뉴얼,8
398,현황,8
399,무엇,8
400,프,8
401,ㅎ,8
402,기존,8
403,러,8
404,-,8
405,대체,8
406,연결,8
407,으니,8
408,바이오,8
409,발생,8
410,페이지,8
411,글,8
412,펴,7
413,구,7
414,드리,7
415,터치,7
416,으시,7
417,똑같,7
418,부탁드리,7
419,다운,7
420,가장,7
421,기본,7
422,업무,7
423,ㄴ다고,7
424,심플,7
425,ㄴ게,7
426,하루,7
427,관리,7
428,다음,7
429,답변,7
430,곳,7
431,어렵,7
432,동안,7
433,메세지,7
434,어디,7
435,라는데,7
436,수준,7
437,터지,7
438,이랑,7
439,남,7
440,새롭,7
441,겨우,7
442,아예,7
443,길래,7
444,언제,7
445,구성,7
446,해외,7
447,이유,7
448,예전,7
449,들어오,7
450,해보,6
451,해도,6
452,철수,6
453,잠시,6
454,요즘,6
455,보유,6
456,치,6
457,복구,6
458,던가,6
459,복잡,6
460,앞,6
461,검색,6
462,선택,6
463,완전,6
464,심각,6
465,경우,6
466,생기,6
467,질,6
468,번째,6
469,어제,6
470,제일,6
471,알뜰,6
472,려면,6
473,조,6
474,남기,6
475,조치,6
476,문구,6
477,세련,6
478,빼,6
479,뱅크,6
480,월,6
481,웹,6
482,화,6
483,밖에,6
484,투자,6
485,굳,6
486,테스트,6
487,괜찮,6
488,공지,6
489,타행,6
490,한도,6
491,ㄱ,6
492,하면,6
493,는건가요,6
494,도저히,6
495,얼마나,6
496,ㄴ다는,6
497,오래,6
498,전혀,6
499,누구,6
500,최근,6
501,별로,6
502,시키,5
503,딱,5
504,205,5
505,세상,5
506,30,5
507,시스템,5
508,6,5
509,인식,5
510,핸드폰,5
511,용,5
512,마찬가지,5
513,이벤트,5
514,마지막,5
515,돌,5
516,8,5
517,던지,5
518,센터,5
519,시대,5
520,래서,5
521,대하,5
522,강제,5
523,증액,5
524,길,5
525,즉시,5
526,방법,5
527,꼭,5
528,끄,5
529,에게,5
530,통신사,5
531,발급,5
532,아직,5
533,가요,5
534,인터페이스,5
535,틀리,5
536,종일,5
537,조차,5
538,지나,5
539,개발,5
540,내용,5
541,코드,5
542,보안,5
543,결국,5
544,고요,5
545,어떤,5
546,았었,5
547,관련,5
548,건,5
549,거지,5
550,카,5
551,구동,5
552,구리,5
553,거나,5
554,군요,5
555,부분,5
556,개판,5
557,미치,5
558,특히,5
559,다니,5
560,평점,5
561,점검,5
562,오류로,5
563,살,5
564,♡,5
565,자,5
566,문의,5
567,작동,5
568,ui,5
569,외화,5
570,잘못,5
571,한참,5
572,요한,5
573,심지어,4
574,란,4
575,오히려,4
576,습니까,4
577,명세서,4
578,속,4
579,원하,4
580,신분증,4
581,스트레스,4
582,배포,4
583,스토어,4
584,선결,4
585,먹히,4
586,머,4
587,맨날,4
588,레,4
589,요구,4
590,유용,4
591,며칠,4
592,안보,4
593,부팅,4
594,방식,4
595,신,4
596,송금,4
597,뭔,4
598,뭐하,4
599,아야지,4
600,원래,4
601,사용성,4
602,예금,4
603,아래,4
604,바코드,4
605,마일리지,4
606,문,4
607,예요,4
608,예정,4
609,로그아웃,4
610,안되나요,4
611,상담원,4
612,엉망,4
613,비,4
614,위하,4
615,신경,4
616,씩,4
617,입출금,4
618,지도,4
619,초기,4
620,단순,4
621,닫,4
622,너무너무,4
623,편의,4
624,임,4
625,대금,4
626,평가,4
627,ㄹ로,4
628,날라오,4
629,전체,4
630,댓글,4
631,관리자,4
632,더라구요,4
633,ㄴ건지,4
634,참고,4
635,구요,4
636,단말기,4
637,펀드,4
638,ㅜㅜ,4
639,자는,4
640,전부,4
641,감사,4
642,갤럭시,4
643,간,4
644,님,4
645,다르,4
646,겟,4
647,통화,4
648,출금,4
649,정리,4
650,결과,4
651,결제일,4
652,정확,4
653,ㆍ,4
654,팝업,4
655,그동안,4
656,개설,4
657,후에,4
658,혹시,4
659,0,4
660,이러,4
661,동작,4
662,나가,4
663,현재,4
664,UI,4
665,땜,4
666,금융사,4
667,이딴,4
668,지원,4
669,라도,4
670,으나,4
671,홈페이지,4
672,회사,4
673,글로벌,4
674,줄,4
675,기간,4
676,그런,4
677,그래서,4
678,돌아가,4
679,그때,4
680,20,4
681,돌리,4
682,도록,4
683,7,4
684,축소,3
685,번거롭,3
686,급히,3
687,치고,3
688,봄,3
689,기가,3
690,부서,3
691,알려주,3
692,개인,3
693,개월,3
694,직관,3
695,야,3
696,직접,3
697,보니,3
698,구글,3
699,그레이드,3
700,어라,3
701,첨,3
702,어떻,3
703,청구,3
704,곧,3
705,체크카드,3
706,근데,3
707,어느,3
708,그만,3
709,뱅킹,3
710,계,3
711,그지,3
712,촬영,3
713,보여주,3
714,채팅,3
715,그것,3
716,콜,3
717,상담,3
718,상당히,3
719,하지만,3
720,x,3
721,pc,3
722,kt,3
723,서버,3
724,함께,3
725,실패,3
726,설명,3
727,Good,3
728,신한,3
729,신속,3
730,세월,3
731,신규,3
732,손,3
733,확,3
734,시적,3
735,21,3
736,수십,3
737,수없,3
738,황당,3
739,승인,3
740,훌륭,3
741,순간,3
742,&,3
743,핀,3
744,ㄴ데도,3
745,크,3
746,프로그램,3
747,개도,3
748,타사,3
749,불안,3
750,안받,3
751,터,3
752,갈,3
753,안내,3
754,통하,3
755,아침,3
756,튕기,3
757,트,3
758,아이폰,3
759,엇,3
760,가끔,3
761,아쉽,3
762,ㅋㅋㅋㅋ,3
763,아무리,3
764,아무런,3
765,평소,3
766,ㄹ지,3
767,아라,3
768,ㄹ려면,3
769,사항,3
770,ㄹ려고,3
771,풀,3
772,가뜩이나,3
773,사업자,3
774,자료,3
775,노,3
776,무,3
777,막,3
778,마저,3
779,오랜,3
780,절대,3
781,원,3
782,노트,3
783,노력,3
784,점점,3
785,둘,3
786,정상,3
787,이미지,3
788,예,3
789,이미,3
790,이메일,3
791,제거,3
792,동의,3
793,뭘,3
794,는데요,3
795,데이터,3
796,늘,3
797,이해,3
798,매일,3
799,매번,3
800,일목요연,3
801,대로,3
802,대기,3
803,일단,3
804,맘,3
805,인지,3
806,입장,3
807,스냅샷,3
808,지경,3
809,다운로드,3
810,다며,3
811,잔액,3
812,온라인,3
813,장난,3
814,저장,3
815,미,3
816,대비,3
817,이건,3
818,뜸,3
819,존,3
820,죽,3
821,응대,3
822,디,3
823,날,3
824,이거,3
825,라면서,3
826,중간,3
827,반영,3
828,주로,3
829,끝나,3
830,낫,3
831,라면,3
832,든,3
833,껏,3
834,조금,3
835,연장,3
836,끊기,3
837,방문,3
838,려니,3
839,중복,3
840,발전,3
841,만원,2
842,새로운,2
843,os,2
844,net,2
845,s,2
846,상황,2
847,또는,2
848,로드,2
849,상세,2
850,상환,2
851,www,2
852,더럽,2
853,만큼,2
854,만들어지,2
855,',2
856,만하,2
857,댓,2
858,대출금,2
859,ㄴ다더니,2
860,ㄹ께요,2
861,ㄹ듯,2
862,쉬,2
863,"""",2
864,생체,2
865,려다가,2
866,index,2
867,html,2
868,ㄹ려는,2
869,수령,2
870,ERR,2
871,ARS,2
872,AI,2
873,=,2
874,쇼핑,2
875,섹터,2
876,90년대,2
877,9,2
878,드,2
879,로기,2
880,45,2
881,리,2
882,손해,2
883,수시로,2
884,18,2
885,FOUND,2
886,android,2
887,.....,2
888,good,2
889,file,2
890,7000,2
891,따위,2
892,asset,2
893,PC,2
894,링크,2
895,로그,2
896,설마,2
897,동네,2
898,OTP,2
899,NOT,2
900,12,2
901,FILE,2
902,기업,2
903,사전,2
904,고생,2
905,바,2
906,보고,2
907,보기좋,2
908,밑,2
909,낭비,2
910,미만,2
911,미국,2
912,냐고,2
913,너무나,2
914,년대,2
915,문제없이,2
916,문제없,2
917,문제 해결,2
918,경험,2
919,경로,2
920,보험,2
921,복,2
922,넘어오,2
923,광고,2
924,구림,2
925,남아돌,2
926,날짜,2
927,기대,2
928,깔리,2
929,끝,2
930,금욜,2
931,백그라운드,2
932,나니,2
933,버,2
934,그전,2
935,나름,2
936,버벅,2
937,나아지,2
938,그래도,2
939,바쁘,2
940,바로바로,2
941,그대로,2
942,래,2
943,벌써,2
944,네여,2
945,거부,2
946,대면,2
947,단말,2
948,모델명,2
949,빡,2
950,몇일,2
951,다만,2
952,가독성,2
953,다하,2
954,단,2
955,메일,2
956,뿐,2
957,개편,2
958,ㅋ,2
959,멀,2
960,먼저,2
961,사양,2
962,닫히,2
963,사업,2
964,대단,2
965,맨,2
966,비싸,2
967,가짜,2
968,늘리,2
969,비버,2
970,개인정보,2
971,무조건,2
972,높,2
973,놓치,2
974,느끼,2
975,무겁,2
976,같이,2
977,불,2
978,는거야,2
979,불친절,2
980,값,2
981,감사합니다,2
982,붙,2
983,붙이,2
984,갈아타,2
985,모션,2
986,간단,2
987,랑,2
988,,2
989,친절,2
990,유저,2
991,애니메이션,2
992,플레이,2
993,지요,2
994,을해,2
995,직원,2
996,어떡하,2
997,표기,2
998,으며,2
999,어야지,2
1000,어이,2
1001,어이없,2
1002,페이,2
1003,펌뱅킹,2
1004,어진,2
1005,어쩌다,2
1006,으려고,2
1007,퍼,2
1008,어휴,2
1009,쪼,2
1010,얼마,2
1011,업체,2
1012,찍,2
1013,유출,2
1014,애꿎,2
1015,앞으로,2
1016,피드백,2
1017,이야기,2
1018,이질,2
1019,합산,2
1020,합계,2
1021,줄이,2
1022,함,2
1023,할인,2
1024,이자,2
1025,이용자,2
1026,할,2
1027,이어,2
1028,한심,2
1029,앗,2
1030,안내문,2
1031,이쁘,2
1032,이리,2
1033,한두,2
1034,증상,2
1035,하위,2
1036,이동,2
1037,알람,2
1038,지금껏,2
1039,필수,2
1040,유지,2
1041,파란색,2
1042,주말,2
1043,파란,2
1044,채널,2
1045,카카오,2
1046,챙기,2
1047,오죽,2
1048,오질,2
1049,용이,2
1050,요화,2
1051,올,2
1052,요청,2
1053,체시,2
1054,출시,2
1055,옮기,2
1056,추천,2
1057,완료,2
1058,추가,2
1059,완벽,2
1060,완전히,2
1061,요새,2
1062,요망,2
1063,최신,2
1064,외주,2
1065,왕,2
1066,외국,2
1067,우체국,2
1068,운영,2
1069,캐,2
1070,열,2
1071,여,2
1072,여기,2
1073,유도,2
1074,차이,2
1075,톡,2
1076,여전히,2
1077,위주,2
1078,연동,2
1079,찬,2
1080,탈퇴,2
1081,열람,2
1082,채,2
1083,원할하,2
1084,키,2
1085,쿠키,2
1086,영상,2
1087,원격,2
1088,영업점,2
1089,예고,2
1090,웃기,2
1091,켜지,2
1092,찾아보,2
1093,이틀,2
1094,촌스럽,2
1095,잔고,2
1096,절차,2
1097,화나,2
1098,인창이,2
1099,종종,2
1100,작,2
1101,자동,2
1102,조선,2
1103,시작,2
1104,제공,2
1105,효과,2
1106,회원,2
1107,일치,2
1108,일부,2
1109,쓸데없,2
1110,입금,2
1111,화가,2
1112,제가,2
1113,조속히,2
1114,식,2
1115,시중은행,2
1116,접근,2
1117,일주일,2
1118,좋아지,2
1119,해킹,2
1120,확실히,2
1121,헷갈리,2
1122,적립,2
1123,제자리,2
1124,전산,2
1125,전송,2
1126,실적,2
1127,실제,2
1128,잊,2
1129,인내심,2
1130,썬,2
1131,신뢰도,2
1132,잖아요,2
1133,항상,2
1134,좋아하,2
1135,훨,2
1136,정,2
1137,저렇게,2
1138,일반,2
1139,넘기,1
1140,구려,1
1141,구만,1
1142,창구,1
1143,창안,1
1144,구로,1
1145,구려요ㅜㅜㅜㅜ이용하기,1
1146,정작,1
1147,창은,1
1148,정기예금,1
1149,구데기,1
1150,찾아가,1
1151,넘치,1
1152,구만이,1
1153,나발,1
1154,참조,1
1155,구체,1
1156,냐고요,1
1157,차라리,1
1158,귀찮,1
1159,귀차니즘,1
1160,권,1
