,date,thumbsUpCount,comment,score,review score
0,2021-09-29,0,편하게 잘 사용하고 있어요 미국계 은행이라 외국에 나가면 공항 대도시 중심가에 ATM기가 항상 있어 씨티은행을 이용합니다,5,4.0
1,2021-09-28,0,편리성이 너무 떨어짐 앱 다루기가 힘듦,1,-9.0
2,2021-09-27,0,저도 며칠 동안 오류로 뜨네요 혹시 몰라 은행 가기 전 다시 깔고 다시 시도하려고 합니다,1,1.4
3,2021-09-25,0,설정 들어가면 아무것도 안되고 먹통이 돼요 그리고 원하는 걸 하기에 너무 난잡하고 찾기도 힘들어요 앱 자체가 렉도 심하고 끊김이 있어요,1,-6.3
4,2021-09-24,0,앱 ui 진짜 너무 답답하고 불편해요 디자인은 말할 것도 없고 그리고 어플로 주소지 변경하라길래 했는데 10번 다 에러 뜨고 튕기네요 답답해 돌아버릴 지경,1,-10.7
5,2021-09-24,0,생에 첫 간편결제  그동안 계좌이체와 무통장입금으로 온라인쇼핑을 하다가 간편결제 한번 하고 나니까 무통 계좌이체 안 쓰게 됨 세상 세상 편리함 굳 굳히었으나 어느 순간부터 간편결제할라치면 앱 정보가 정확하지 않으니 재실행하라고 문구가 뜨는데 재시작해도 문제는 해결되지 않네요 해외에서 한국결제 유용하게 히고 있었는데 너무 불편합니다 코로나 때문에 한국도 못 들어가고 있는데 답답하네요,2,-2.0
6,2021-09-24,0,씨티은행 카드 혜택이 아주 좋아요 오래오래 가능하길,4,9.0
7,2021-09-24,0,최악입니다 오류 떠서 지우고 다시 깔았는데 인증 무한 루프입니다 짜증 나네요,1,-12.5
8,2021-09-24,0,씨티카드 문 닫음 안돼요 내가 얼마나 오래 사용한 카드인데,5,-1.0
9,2021-09-22,0,터치가 안 먹혀요  답답 답답 답답 속 터짐  언제 고쳐주시나요,1,8.0
10,2021-09-20,1,차라리 앱을 없애는 게 나을 것 같아요 2021년에 사용 중인 어플이라니 끔찍할 정도 씨티은행 계좌 없이 대출금 조회해보셨나요 공동 인증서 갱신 이후부터 로그인이 안 됩니다 타행 인증서 등록하려는데 왜 씨티은행 계좌를 입력해야 하나요 결국엔 공동 인증서로 로그인을 막아서 회원가입률 올리는 거겠죠 it 서비스 기획자는 씨티은행이라는 회사에 없나요 애꿎은 사람들 놀리지 말고 은행 창구나 늘리세요,1,-7.7
11,2021-09-20,0,이체 무료에 정말 빠른 외화도 가능할까 테스트해봐야지,5,5.0
12,2021-09-15,0,죄송하지만 빠른 반응속도 위주의 새로운 어플 출시를 부탁드립니다,1,-1.5
13,2021-09-15,0,느려도 너무 느리다,1,-3.0
14,2021-09-14,0,칼뱅 제휴카드 신청하고 시티 모바일앱 설치하려고 하는데 계속 대기 중으로 설치가 되지 않음 첨부터 이런데 서비스가 제대로 제공될지 의구심이 드네요 씨티카드 수령 거부하고 탈회 신청해야겠습니다,1,-1.5
15,2021-09-13,0,씨티카드만 사용하는데 인증서 등록해서 로그인하려면 씨티은행 계좌번호를 쓰라는 데 있어야 쓰죠 카드사 앱 중에서 가장 허접하고 가장 불편합니다,1,-4.0
16,2021-09-13,0,앱이 너무 느립니다 빠르게 개선 좀 됐으면 좋겠어요,4,-3.1
17,2021-09-12,0,간편한데 앱이 최적화가 잘 안되어있는 것 같아요 너무 무겁게 느림,3,-1.0
18,2021-09-09,0,씨티카드는 멤버스 앱이나 어떤 페이나 이런 게 없나요 시티 모바일앱만 있는 거 맞나요,3,0.0
19,2021-09-08,0,pc에서 시티 스마트 간편결제하려는데 앱에서 어디서 하는지 못 찾겠어요 다른 카드사처럼 팝업 뜨게 해주던 거 qr코드로 바꾸던가 누가 바코드를 써요 완전 메인 ui는 쓸데없는 메뉴만 돈 빨리 갚는 머 그런 것만 있고 검색어로도 스마트 간편결제 결제 코드 인터넷 다 넣어도 없는 단어라고 하고 젊은 사람도 이렇게 못 찾는데 어르신들은 어떻게 이용하실까 싶네요,3,-3.0
20,2021-09-07,0,지문인식도 되고 쓰기 좋네요,5,1.0
21,2021-09-07,0,진짜 아침부터 짜증 나게 오류인지 먼지 계속 안되네요 왜 이러나 요,1,-4.7
22,2021-09-06,6,개인적으로 통장이나 카드나 이벤트 등 시중은행 중에서는 나름 괜찮은 편입니다 그러나 고객서비스는 소통할 채널 자체가 부족하고 그나마 용이한 채팅은 상담원이 전문성이 없이 여러 분야를 응대해서 그런지 친절도도 짜증 안 내면 다행 그냥 채팅 봇이 더 나을 정도이고 답변 수준도 자기도 잘 모르면서 잘못된 답을 알려줘서 직접 해당 부서에 전화해서 알려준 대로 이야기 진행했더니 완전 바보 됐습니다 그리고 앱 자체로 만 봤을 때 은행 앱 중에서 반응속도가 꼴찌에 속합니다 뭔가를 누르면 반드시 23초 정도 로딩 시간이 흘러야 넘어갑니다 다른 건 다 만족하는 편인데 이게 뭐라고 이거 하나 땜에 별을 다 깎았냐면 반응속도 느린 거로 몇 년 전부터 개선해줄 것을 요청했지만 아직도 그대로입니다 업데이트할 때마다 사용자들에게 가장 불편하고 급한 건 놔두고 뭘 개선하는 건지 알 수가 없고요 놀고 있는 건 아닐 테고 몇 년째 같은 반응속도인 걸 보면 그냥 속도 하나 개선 못할 정도로 능력이 없거나 그만큼 투자를 안 한다고 밖에 생각이 안 드네요,2,-4.7
23,2021-09-06,0,비대면 만들려다가 본사 뛰어갈 판 이따위로 만들다니  웃기다,1,-3.0
24,2021-09-06,2,본인인증 문자 하나 기다리는데 언제까지 기다려야 되는지 몇 번을 다시 해도 문자가 안 오다가 오길래 입력했더니 번호 오류 미치겠네요 로그인도 못하고,1,2.5
25,2021-09-06,0,간편결제 어딨는데 UI 누가 만들었냐,1,0.0
26,2021-09-05,0,탭 반응 너무 느려서 여러 번 오류 남,4,-5.0
27,2021-09-05,0,PC 기반 웹사이트는 괜찮은데 앱은 타 금융이 타보다 에러가 많음,2,-3.0
28,2021-09-05,0,카드 내역 조회만 터치하면 먹통이 되네요 카드사 어플 중 하위권,2,1.0
29,2021-09-05,2,로그인을 하고 이체를 하려고 하면 로그인이 필요하다며 다시 로그인 창이 나오고 또 로그인해도 똑같고 가끔 이런 증상이 있는데 참 답답하네요 다른 은행 어플에서는 한 번도 일어나지 않은 오류가 시티에서는 자주 생기는 듯,2,0.0
30,2021-09-05,0,메뉴 누를 때마다 로그인하라고 뜸 가뜩이나 반응속도 최악인데 아주 좋은 기능 추가했네 대단들 하십니다,1,1.5
31,2021-09-05,7,분명히 로그인하고 사용 계좌 들어가서 이체 신청하면 로그인 후 사용 가능하다는 메시지가 뜨고 다시 로그인하면 경로 오류 뜨고 다시 경로 찾아 계좌이체하려면 오류로 인해 사용이 불가하니 잠시 뒤에 하라고 합니다 잠시 뒤 이걸 한 시간을 하고 있는 내가 너무 화가 나네요 삭제하고 다시 깔아도 마찬가지입니다 황당하고 어이가 없네요,1,-12.0
32,2021-09-02,0,사용하기 편하고 여러 혜택이 있어요,5,5.0
33,2021-09-01,0,한도 증액 감사합니다,5,3.0
34,2021-09-01,0,카카오페이 통해 신용대출받으려고 하는데 건강보험 자료 인증에서 계속 오류 발생합니다,3,3.0
35,2021-09-01,0,왜 계 느려진 거죠,1,-0.3
36,2021-09-01,0,사용하기 편하고 아주 좋아요 ,5,9.0
37,2021-08-31,0,기업고객은 서비스 이용이 불가능한가요 기업카드 확인하는 곳이 없네요,3,0.0
38,2021-08-30,10,모든 은행 어플을 써보지는 못했지만 사용해본 중에 제일 별로예요 한번 접속하면 꼭 5번 이상 삭제하고 싶어져요 반응도 느리고 뭐가 잘 안돼요 누르면 활성화되는데 너무 오래 걸려요 원하는 메뉴 찾기도 힘들어요 디자인도 별로예요,1,-10.3
39,2021-08-29,6,2021년에 이런 앱이 있다는 것이 놀라울 따름이고 평점이 46이라는 것에 한 번 더 놀라움 카드 혜택도 별로인데 앱은 정말 이상하게 만들어짐 시티는 다름 금융사 앱은 안 보는 것이 진지 3개월 사용하다가 해지할 거라 앱 지웠는데 마지막 남은 결재 건이 있다고 해서 다시 깔면서 평점 남김,1,-2.5
40,2021-08-27,0,시티는 가끔 오류가 발생 골 때립니다,1,3.0
41,2021-08-27,0,사용하기 편리하게 잘 만들어졌어요,5,6.0
42,2021-08-27,0,신분증 ocr인 증 이렇게 안되는 앱은 천이네요 대안방식을 강구하던가 지점 방문 안내를 해둘 건가 가뜩이나 씨티은행 지점도 별로 없는데 비대면이 이렇게 불편해서야 어쩝니까,1,4.0
43,2021-08-26,0,이체 시 확인 버튼 클릭이 되질 않네요 두 번이나 지웠다 다시 깔아도,2,-1.5
44,2021-08-26,0,너무 느립니다 결재 조회도 안되고요,1,-3.0
45,2021-08-26,0,제발 이체 좀 하게 해주세요 이체 버튼 누르면 모바일 인증하라고 하고 모바일 인증하려 하면 이미 되어 있다 하고 내 돈 내가 빼가고 싶은데 왜 못하게 하나요 ,1,2.7
46,2021-08-25,0,왜 이렇게 만드세요 접속도 안돼요 글로벌은행이 이렇게 운영하면 위에서 뭐라 안 하나요,1,-1.7
47,2021-08-24,0,쉽게 보고 이용할 수 있어 좋네요,5,4.5
48,2021-08-24,0,편하게 사용하고 있습니 디,5,2.0
49,2021-08-24,0,세상에서 가장 불편한 금융앱 시디 모바일,1,-6.0
50,2021-08-23,0,어플 관리 안 하냐,1,-1.0
51,2021-08-22,0,아니 앱 설치하면 들어갈 수는 있게 만들어야지 수십 번 지웠다 깔아도 계속 첫 화면에서 먹통 그냥 이전 앱으로 돌려놔라 도대체 어떤 빠가들이 만든 거냐,1,-2.5
52,2021-08-22,0,사랑하는 국제 메가뱅크 은행 한국 철수하지 말고 앞으로도 계속 함께해줘 별 5점 줄게,5,3.5
53,2021-08-22,16,앱에서 이체 안되는 문제 해결 안 하시나요 오류가 너무 많고 이체도 종종 안되고 시티 앱 이용하기에 위험성이 너무 많아 참고 참다 이용 종료합니다 한국에서 비즈니스 축소하는 건 알겠는데 기본적인 건 제대로 하셔야 합니다,2,1.5
54,2021-08-22,0,거지 같은 앱 어느 순간 오류투성이 카드 확인 및 결제다 안되고 모든 메뉴 눌러도 오류만 뜨네요,1,3.0
55,2021-08-22,0,에러가 왜 이렇게 뜨는지 999999 이거 뜨면서 아무것도 안됨,1,-1.9
56,2021-08-22,0,내 카드가 안 보입니다  없다고 나와요 하 앱을 타 카드사처럼 만드시던지 사용하기 불편해요,1,-5.0
57,2021-08-22,0,빨리 철수 부탁드립니다,1,-0.8
58,2021-08-20,0,10여 년 전 앱 오류로 결제가 안되는 답답함을 21년에 느끼네요 타임머신을 타시고 싶으시면 사용하시기 바랍니다,1,-0.3
59,2021-08-20,0,계좌이체 시 잘 안 넘어가요 돈 보낼 때마다 꼭 그러더라고요 핸드폰 껐다가 다시 켜요 개선요망요 다른 은행 건 문제없는데 여기만요,4,0.8
60,2021-08-19,0,본인 핸드폰인데도 SMS 비번과 OTP 비번을 요구하는 것은 과잉 보안으로 보임,1,-0.5
61,2021-08-19,0,스마트 간편결제 안됩니다 스마트 간편결제에 카드 등록되어 있는데 결제 화면으로 안 넘어가고 자꾸 구글 플레이로 열립니다,1,1.2
62,2021-08-19,0,로그인 자체가 안돼요 도저히 쓸 수가 없음,1,0.5
63,2021-08-18,9,아이디 로그인 시 사용하는 비밀번호 변경 시 기존 비밀번호와 신규 비밀번호만 입력하는 것으로 수정하면 안 될까요 변경하려는데 계좌번호와 출금 비밀번호 혹은 신용카드번호와 카드 비밀번호를 입력하라고 합니다씨티앱 버전 200100 간편 비밀번호 지정이나 공동 인증서 지정할 때도 모두 계좌번호와 출금 비밀번호 신용카드번호와 카드 비밀번호 입력 요구합니다 혹시 해킹인가 본인 확인을 위해 필요 한 것이라면 다른 어플들처럼 공동 인증서나 등록된 이메일 또는 핸드폰 번호 콜백 기능으로 대체하면 안 될까요,3,-2.5
64,2021-08-18,0,앱 들어가집니다 감사합니다,5,4.0
65,2021-08-18,0,사용이 아주 편리합니다,4,6.0
66,2021-08-17,0,대출 정보 보려고 클릭하면 오류코드 9999999 뜨면서 유통 오류라고 뜨네요 해결 부탁합니다,1,-6.0
67,2021-08-17,0,머 하자는 거예요 카드 쓰지 말라는 거예요 모바일 결제 한번 하려다 인내심 한계 오고 분노조절장애 올 것 같아요 별 하나 주는 것도 아까워서 손이 덜덜,1,-8.5
68,2021-08-16,4,너무 느립니다 입력 시 반응이 너무 느려서 도저히 사용할 수 없을 정도입니다 계좌 하나 개설하는데 얼마나 많은 오류가 발생하게 되는지 담당 부서에서는 직접 한번 사용해보시고 개선 부탁드립니다,1,-11.5
69,2021-08-15,0,즉시 결제 주말에 안되는 거 진짜 불편은 시스템적으로 잘 만들어놓아서 바로바로 즉시 결제를 했는데 확실히 시티는 시스템이 구려요,3,13.2
70,2021-08-14,8,이렇게 오류 많은 뱅킹 앱 처음 안드로이드에선 휴대전화 인증 후 오류로 가입 불가 아이폰으로 가입은 했는데 이번엔 이체한도 증액하려는데 마지막 인증서 인증 후 오류만 계속 안 드나 아이폰 둘 다 이체한도 증액 오류 이 앱으로 할 수 있는 것이 없다,1,-11.0
71,2021-08-14,0,온라인 사용등록 진짜 더럽게 안됨 겨우겨우 했는데 카드 등록 안 되어있음 신분증 촬영 인식도 더럽게 잘 안됨 진짜 안 쓴다 그냥,1,-8.0
72,2021-08-12,0,스마트 간편 결재 안돼요 15777000으로 전화해도 돌리고 또 돌리고 10분 이상 시간 낭비하다가 그냥 일반 결재 등록해서 결재했습니다,1,-6.0
73,2021-08-11,0,금융앱이 어떻게 이렇게 쓰레기일 수가 로그인 후 뭐 조회만 하려고 하면 로그인해야 조회 가능한 메뉴래 기가 찬다,1,-0.5
74,2021-08-11,0,전보다 불편해진 느낌,1,-3.0
75,2021-08-11,0,앞 버전으로 바꿔주세요 비번 로그인도 안 되고 그래서 카드 결제도 미리미리 못하고 결제금액도 모르네요,1,-3.3
76,2021-08-10,0,good bank citi,5,0.0
77,2021-08-10,0,이용 항목을 찾아보기가 힘듭니다 그리고 5G 프리미엄 휴대폰으로 유독 이 앱에서만 반응속도가 느린 것은 뭐가 문제일까요,1,-5.0
78,2021-08-10,0,한도가 늦게 올라감이 자도 비싸고,5,-1.0
79,2021-08-10,0,디지털 OTP 불편,1,-3.0
80,2021-08-09,0,앱이 정상 작동을 하지 않음,1,-1.0
81,2021-08-09,0,이체할 때 계좌 확인하는 부분에서 먹통 됨,1,1.0
82,2021-08-08,3,통신 상태가 원활하지 않는다는 에러가 자꾸 뜨는지 모르겠군요 모바일 데이터로 사용해봐도 앱 삭제 후 다시 깔아봐도 똑같아요 예전에는 안 그러던데 왜 이러는지 답답하네요,1,-3.4
83,2021-08-08,0,카드 10년 이상 사용했는데 최근 업데이트되고 앱도 안 열리고 개판이네요 있었던 정마저 떨어지는 기술력,1,-9.5
84,2021-08-08,2,항공 마일리지 카 드 때문에 어쩔 수 없이 깔았는데 호환 운영시간 오류 등등 중소기업 수준입니다 한국에서는 굳이 쓸 필요 없어 보입니다,1,-3.5
85,2021-08-07,0,신속하고 편리하게 사용할 수 있어 좋습니다,5,7.0
86,2021-08-07,0,너무 편하고 좋아요,5,9.0
87,2021-08-07,0,메뉴 반응속도가 너무 느리다,1,-2.0
88,2021-08-06,6,하 모바일어플서 결제하는데 계속 스토어에서 시티 모바일 열라고만 뜨고 뭔;; 이 짓거리를 지금 몇 번을 하는지 기존 결제 비밀번호 6자리 입력창이 없고 스토어만 만 뜨고 밑에 리뷰가 저랑 같아서 답글 확인 후에 답변대로 스마트 결제 들어가 보니 뭔 바코드를 입력하거나 찍으래요 어플 연동이 안되네요 젊은 저도 이러는데 다른 사람들은 오죽할까요 간편결제하는데 바코드 찍으라는 경우는 처음 봅니다 정말 다른 금융 어플이랑 너무 차이 나요 씨티카드 좋아하는데 어플 사용할 때마다 암 걸려요 정말 개발자님 죄송한데 씨티카드 어플 사용할 때마다 스트레스받아요 물론 개발자님께서도 제 글 보고 스트레스받으실 거 아는데 이게 소비자가 잘 못하는 거 일 수도 있는데 잘 못하게 만든 것에 아쉽다는 피드백을 남기고 싶어요 지금 인터넷쇼핑하고 결제 단계에서 시티 클릭하고 결제하기 누르면 스토어에 씨티카드 들어가라고만 뜨고 그 후 들어가도 아무런 액션이 없습니다,1,5.3
89,2021-08-05,0,앱 사용 속도가 예전보다 상당히 느려졌어요 개선 필요합니다,3,-1.7
90,2021-08-04,0,진심 최악의 앱 회원가입하려 하니 아이디가 이미 있다고 나오고 아이디 조회하면 아이디가 없다고 나오네,1,-6.0
91,2021-08-03,0,인증을 대체 몇 번을 하는지 ,1,0.0
92,2021-08-03,0,타 카즈에 비해 한도 높고 혜택도 맘에 들어요 캐시백,5,2.0
93,2021-08-02,0,오류 때문에 카드 하나를 만들려고 며칠째 지점도 없고 비대면은 계속 오류 뜨고 이용하지 말라는 거죠,1,-1.0
94,2021-08-01,0,쉽고 빠른 이체 리뷰 잘 안 쓰는데 시티뱅크가 한국에서 나간다네요 아쉬워요,5,-0.7
95,2021-08-01,0,나의 최고의 동반자,5,5.0
96,2021-07-31,0,편하고 속전속결 좋아요,5,3.0
97,2021-07-30,0,뭐 계속 통신오류냐 바이 오든 간편이든 어휴,1,-7.0
98,2021-07-29,6,Pc에서 모바일앱으로 인증서 내보내길 할 때 아무리 시도해도 인증번호가 안 생깁니다 인증서가 급히 필요한데 정말 짜증 나네요 웬만하면 리뷰 같은 거 좋게 쓰는데 뭐 이런 거지 같은 경우가 있는지 하,1,-9.5
99,2021-07-29,0,씨티은행 계좌가 없으면 아예 진행이 안되네요 씨티카드만 사용하는 사람은 쓰지 말라는 가요,1,-3.5
100,2021-07-28,0,새로 나온 앱 쓰기 좋네요,5,0.0
101,2021-07-28,0,계좌개설했는데 로그인부터 안 됨 진짜 쌍욕 나오는 쓰레기 앱,1,-7.0
102,2021-07-27,0,오류 없이 잘 이용 중이네요,5,-5.0
103,2021-07-26,8,제가 쓰는 모든 은행 앱 중에서 가장 오류 많아요 지금도 계속 접속 시도 중인데 중간에서 멈춰요 제발 중간에 멈추는 오류 빨리 개선해 주세요,1,-14.3
104,2021-07-26,0,그냥 마냥 이유 없이 시티가 좋아,5,2.0
105,2021-07-26,0,하 웬만하면 꾹 참고 쓰는데 클릭 시 버퍼링처럼 멈췄다 넘어가는 불편한 경험을 했어요 개선 부탁드려요,1,2.6
106,2021-07-25,20,모바일에서 구매 시 씨티카드 선택하고 모바일 결제 실행하면 결제 인증 번호 입력하는 화면으로 넘어가야 하는데 어제부터 자꾸 구글 플레이에서 어플 열기로 넘어와서 애꿎은 앱만 열고 닫고 반복하고 있어요 뭔가 잘못하고 있나 싶어서 어플 지워서 다시 깔고 카드도 다시 등록해봤지만 똑같아요 시티가 준 카드라 불편함이 많아도 그냥 참고 견뎠는데 아 이번 건 진짜 별로네요,1,-3.7
107,2021-07-23,0,접속 오류 자주 발생해 답답해요,1,-4.0
108,2021-07-23,0,속도가 너무 느립니다,1,-2.0
109,2021-07-23,0,보안카드는 귀차니즘,3,0.0
110,2021-07-22,1,대출 연장하면서 인증도 다하고 마지막 페이지에서 대출 연장 버튼이 회색 처리되어서 연장이 안되네요 이틀 남았는데 어떻게 합니까,1,0.8
111,2021-07-22,0,딱 필요한 만큼만 너무 편하지도 불편하지도 않게 딱 좋아요,5,11.0
112,2021-07-21,0,예전보다 사용 불편,3,-3.0
113,2021-07-21,0,너무 느리고 불편함,1,-5.0
114,2021-07-21,0,데이터 확인 사용이 정말 불편함,1,-6.0
115,2021-07-20,0,인증번호가 안 옵니다,1,-1.0
116,2021-07-20,0,상당히 빠르고 간단하네요,5,4.7
117,2021-07-20,0,도대체 잘 쓰고 있던 앱에 무슨 짓을 한 거냐 계좌이체도 안되고 왜 이리 무거워,1,-0.7
118,2021-07-20,0,정말 사용하기 힘들었습니다,1,0.0
119,2021-07-19,0,개발자님 이체할 때 받으시는 분이 맞나 용에서 확인이 안 눌리고 멈춰서 이체를 못합니다,1,0.0
120,2021-07-19,0,굉장히 쉽고 편리합니다,5,9.0
121,2021-07-19,0,씨티카드 결제 클릭 후 왜왜왜 결제 창안 나오고 어플 로그인이 되냐고요 미쵸불겠네 참,1,1.5
122,2021-07-19,0,간편하게 이용이 가능함,5,4.0
123,2021-07-19,0,속도 개선이 절실히 요구됩니다,1,0.5
124,2021-07-19,1,다음으로 넘어가지 않고 계속 제자리만 맴돌고 있음 계좌개설하는데 이렇게 힘든 은행 어플 처음  다시 만드시는 게 어떤지,1,-2.0
125,2021-07-18,0,구동 및 처리 속도가 너무 느림,1,-2.0
126,2021-07-18,0,편하고 좋아요 특히 이체할 때,5,7.2
127,2021-07-18,1,아주 좋아요 굳굳굳이에요,5,48.0
128,2021-07-17,2,인천은행 경기은행 한미은행 씨티은행으로 계속 이어 이용하고 있으며 가까운 우체국이나 지방에서 우체국을 이용하면 편리하게 이용할 수 있어 불편 없이 이용합니다,5,-2.0
129,2021-07-17,0,너무 느리고 사용 불편함,1,-5.0
130,2021-07-16,1,다른 은행 모바일앱보다 보기에도 사용하기에도 모두 편해요,5,3.0
131,2021-07-16,0,계좌 확인과 이체가 편리합니다,5,3.0
132,2021-07-15,5,이런 걸 앱이라고 만들어 서비스하나요 최악이네요 공동 인증서 등록도 안되고 아이디 찾기도 안되고 엄청 느리고 아니 뭐 로그인이 돼야 뭘 이용을 하지,1,-9.0
133,2021-07-14,0,대출은 받았는데 오류 땜에 돈을 못쓰네요 이거 뭐지요;;;;; 인출 좀 합시다 좀,2,5.3
134,2021-07-14,0,PC 홈페이지보다는 쪼금 낫네  다른 은행 벤치마킹 좀 하시구려,2,1.5
135,2021-07-13,1,전에는 잘 되다가 요즘 들어 갑자기 느려졌는데 왜 그런가요 좀 됐는데 개선이 안되네요,2,2.0
136,2021-07-12,0,이체 화면이 제대로 안 뜹니다,1,-1.5
137,2021-07-12,1,1 외화 비쌈 카카오뱅크가 훨씬 나음 2 앱 렉 자주 걸림 딱 아이폰 처음 나왔을 때 같음 3 선택사항 마케팅 이런 거 다 동의 눌러야 넘어감,1,1.3
138,2021-07-12,0,205번 에러 뜨길래 지우고 깔았는데 또 205번이 뜨네요 앱을 어떻게 사용해야 하나요,1,-2.7
